admin_id_old,admin_id_new,code,rule,provenance
AF-JW-MA,AF-JW-MA,MA,name,spine
AF-JW-MI,AF-JW-MI,MI,name,spine
AF-JW-QA,AF-JW-QA,QA,name,spine
AF-JW-SH,AF-JW-SH,SH,name,spine
AF-KB-BA,AF-KB-BAG,BAG,name,cc0
AF-KB-CA,AF-KB-CHA,CHA,compound,spine
AF-KB-DS,AF-KB-DES,DES,compound,cc0
AF-KB-GD,AF-KB-GUL,GUL,name,cc0
AF-KB-IS,AF-KB-IST,IST,name,cc0
AF-KB-KB,AF-KB-KAB,KAB,name,cc0
AF-KB-KJ,AF-KB-KHJ,KHJ,compound,cc0
AF-KB-KL,AF-KB-KAL,KAL,name,cc0
AF-KB-MK,AF-KB-MBK,MBK,initials,cc0
AF-KB-MU,AF-KB-MUS,MUS,name,spine
AF-KB-PA,AF-KB-PAG,PAG,name,cc0
AF-KB-QA,AF-KB-QAR,QAR,name,cc0
AF-KB-SD,AF-KB-SHA,SHA,name,cc0
AF-KB-SU,AF-KB-SUR,SUR,name,cc0
AF-KD-AR,AF-KD-ARB,ARB,name.ends,cc0
AF-KD-AS,AF-KD-ARG,ARG,name,cc0
AF-KD-DM,AF-KD-DAM,DAM,name,spine
AF-KD-GH,AF-KD-GHO,GHO,name,cc0
AF-KD-KA,AF-KD-KAN,KAN,name,spine
AF-KD-KH,AF-KD-KHA,KHA,name,cc0
AF-KD-MR,AF-KD-MAR,MAR,name,cc0
AF-KD-MY,AF-KD-MAY,MAY,name,cc0
AF-KD-PA,AF-KD-PAN,PAN,name,cc0
AF-KD-RE,AF-KD-REG,REG,name,cc0
AF-KD-SB,AF-KD-SPB,SPB,compound,cc0
AF-KD-SR,AF-KD-SHU,SHU,name,cc0
AF-KD-SW,AF-KD-SWK,SWK,initials,cc0
AF-KP-AL,AF-KP-ALA,ALA,name,cc0
AF-KP-KB,AF-KP-KOB,KOB,compound,cc0
AF-KP-KO,AF-KP-KOH,KOH,name,cc0
AF-KP-MR,AF-KP-MAR,MAR,compound,cc0
AF-KP-NI,AF-KP-NIJ,NIJ,name,cc0
AF-KP-TA,AF-KP-TAG,TAG,name,cc0
AF-KR-AA,AF-KR-ASA,ASA,name,cc0
AF-KR-BK,AF-KR-BAK,BAK,compound,cc0
AF-KR-CD,AF-KR-CHD,CHD,compound,cc0
AF-KR-CH,AF-KR-CHA,CHA,name,cc0
AF-KR-DA,AF-KR-DAN,DAN,name,cc0
AF-KR-DP,AF-KR-DIP,DIP,initials,cc0
AF-KR-KK,AF-KR-KHK,KHK,compound,cc0
AF-KR-MA,AF-KR-MAR,MAR,name,cc0
AF-KR-NA,AF-KR-NAL,NAL,name,spine
AF-KR-NB,AF-KR-NAB,NAB,initials,cc0
AF-KR-NU,AF-KR-NUR,NUR,name,cc0
AF-KR-SI,AF-KR-SIR,SIR,name,cc0
AF-KT-BA,AF-KT-BAK,BAK,name,cc0
AF-KT-GU,AF-KT-GUR,GUR,name,cc0
AF-KT-JM,AF-KT-JAM,JAM,compound,spine
AF-KT-KM,AF-KT-KHM,KHM,compound,cc0
AF-KT-MK,AF-KT-MUS,MUS,name,cc0
AF-KT-MZ,AF-KT-MAN,MAN,name,cc0
AF-KT-NS,AF-KT-NSK,NSK,initials,cc0
AF-KT-QA,AF-KT-QAL,QAL,name,spine
AF-KT-SB,AF-KT-SAB,SAB,name,cc0
AF-KT-SP,AF-KT-SPE,SPE,name,cc0
AF-KT-TA,AF-KT-TAN,TAN,name,spine
AF-KT-TZ,AF-KT-TEZ,TEZ,compound,spine
AF-KZ-AA,AF-KZ-ALA,ALA,compound,cc0
AF-KZ-CD,AF-KZ-CHD,CHD,compound,cc0
AF-KZ-DA,AF-KZ-DAA,DAA,compound,spine
AF-KZ-HI,AF-KZ-HAI,HAI,compound,spine
AF-KZ-KA,AF-KZ-KHA,KHA,compound,cc0
AF-KZ-KU,AF-KZ-KUN,KUN,name,cc0
AF-KZ-QZ,AF-KZ-QIZ,QIZ,initials,cc0
AF-LA-AN,AF-LA-ALR,ALR,name.ends,cc0
AF-LA-AS,AF-LA-ALI,ALI,name,cc0
AF-LA-DS,AF-LA-DAS,DAS,compound,cc0
AF-LA-MI,AF-LA-MIH,MIH,name,cc0
AF-LA-QA,AF-LA-QAR,QAR,name,cc0
AF-LW-BB,AF-LW-BAB,BAB,compound,cc0
AF-LW-CH,AF-LW-CHA,CHA,name,cc0
AF-LW-KH,AF-LW-KHU,KHU,name,spine
AF-LW-MA,AF-LW-MOA,MOA,compound,cc0
AF-LW-PA,AF-LW-PIA,PIA,initials,cc0
AF-NG-AC,AF-NG-ACH,ACH,name,cc0
AF-NG-BK,AF-NG-BAK,BAK,compound,cc0
AF-NG-CH,AF-NG-CHA,CHA,name,cc0
AF-NG-DB,AF-NG-DUB,DUB,compound,cc0
AF-NG-DL,AF-NG-DEB,DEB,compound,cc0
AF-NG-DN,AF-NG-DIN,DIN,initials,cc0
AF-NG-GO,AF-NG-GOS,GOS,name,cc0
AF-NG-HI,AF-NG-HES,HES,name,cc0
AF-NG-JA,AF-NG-JAA,JAA,compound,spine
AF-NG-KA,AF-NG-KAM,KAM,name,cc0
AF-NG-KH,AF-NG-KHO,KHO,name,cc0
AF-NG-KZ,AF-NG-KUK,KUK,compound,cc0
AF-NG-LP,AF-NG-LAP,LAP,compound,cc0
AF-NG-MD,AF-NG-MUD,MUD,compound,cc0
AF-NG-NA,AF-NG-NAZ,NAZ,name,cc0
AF-NG-PA,AF-NG-PAA,PAA,initials,cc0
AF-NG-RO,AF-NG-ROD,ROD,name,cc0
AF-NG-SR,AF-NG-SUR,SUR,compound,cc0
AF-NG-SW,AF-NG-SHI,SHI,name,cc0
AF-NG-SZ,AF-NG-SHE,SHE,name,cc0
AF-NM-CB,AF-NM-CHB,CHB,compound,cc0
AF-NM-CH,AF-NM-CHA,CHA,name,cc0
AF-NM-KA,AF-NM-KAN,KAN,name,cc0
AF-NM-KR,AF-NM-KHR,KHR,compound,cc0
AF-NM-ZA,AF-NM-ZAR,ZAR,name,cc0
AF-NR-BM,AF-NR-BIM,BIM,initials,cc0
