pattern,regex,complexity,active
Sx-Sx-Sx-Sx-Sx-Sx( Sx),^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)(?: ([0-9A-Z]+))?$,2,1
Sx Dx Dx Dx Sx Sx,^([0-9A-Z]+) ([0-9]+) ([0-9]+) ([0-9]+) ([0-9A-Z]+) ([0-9A-Z]+)$,1,1
Dx-Dx-Dx-Dx.Dx( Dx),^([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)\.([0-9]+)(?: ([0-9]+))?$,1,1
Sx_[S.]x_[S.]x(_[S.]x),^([0-9A-Z]+)_([0-9A-Z.]+)_([0-9A-Z.]+)(?:_([0-9A-Z.]+))?$,1,1
Dx Sx- Dx-Sx- Sx(-Sx)(-Sx),^([0-9]{2}) +([0-9A-Z]+)- *([0-9]+)-([0-9A-Z]+)(?:- *([0-9A-Z]+))?(?:-([0-9A-Z]+))?(?:-([0-9A-Z]+))?$,1,1
D6 Dx.(Dx)-(Dx)-Dx(.Dx)(-Sx)( Sx),^([0-9]{6}) ([0-9]+)\.([0-9]+)?-([0-9]+)?-([0-9]+)(?:\.([0-9]+)?(?:[/-]([0-9A-Z]+))?)?(?: ([0-9A-Z]+))?$,1,1
Dx.(Dx)-Dx-Dx(.(Dx)(/Sx)),^([0-9]+)\.(?:([0-9]+))?-([0-9]+)-([0-9]+)(?:\.([0-9]+)?(?:\/([0-9A-Z]+))?)?$,3,1
(D5_)Dx.Dx-Dx-Dx.Dx,^(?:[0-9]{5}_)?([0-9]+)\.([0-9]+)-([0-9]+)-([0-9]+).([0-9]+)$,1,1
(D5_)Dx-Dx-Dx,^(?:[0-9]{5}_)?([0-9]+)-([0-9]+)-([0-9]+)$,1,1
D6+ D4( Sx)( Sx),"^([0-9]{6,}) +([0-9]{4})(?: ([0-9A-Z]+))?(?: ([0-9A-Z]+))?$",4,1
Dx.Dx.Dx( Dx),^([0-9]+)\.([0-9]+)\.([0-9]+)(?: ([0-9]+))?$,2,1
Dx Dx Dx Dx Dx Dx Dx.Dx( Sx),^([0-9]+) ([0-9]+) ([0-9]+) ([0-9]+) ([0-9]+) ([0-9]+) ([0-9]+)\.([0-9]+)(?: ([0-9A-Z]+))?$,1,1
D12|ADx,^(?:([0-9]{12})|([A-Z][0-9]+))$,1,1
