country_id,admin_id_admin1,admin_id,name,kind,origin,source_column,pattern,conv,match_rate,n_ids_parcel,n_ids_tax
US,39167,US-OH-WS,Washington,tax,auto,apn,Sx(-)Dx,skip_empty: 1,0.905,57670.0,78117.0
US,39169,US-OH-WY,Wayne,parcel,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1,0.984,55862.0,59436.0
US,39169,US-OH-WY,Wayne,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1,0.984,55862.0,59436.0
US,39171,US-OH-WI,Williams,parcel,auto,apn,Ignored,simple,0.966,25548.0,25918.0
US,39171,US-OH-WI,Williams,tax,auto,apn,Ignored,simple,0.966,25548.0,25918.0
US,39173,US-OH-WO,Wood,parcel,auto,apn,Sx(-)Dx,split_groups: 0|- 0_0|3 & skip_empty: 1,0.96,70198.0,72748.0
US,39173,US-OH-WO,Wood,tax,auto,apn,Sx-Sx-Sx,drop_cols: 0 & skip_empty: 1,0.96,70198.0,72748.0
US,39175,US-OH-WN,Wyandot,parcel,auto,apn,Ignored,simple,0.985,19706.0,20766.0
US,39175,US-OH-WN,Wyandot,tax,auto,apn,Ignored,simple,0.985,19706.0,20766.0
US,40001,US-OK-AD,Adair,parcel,auto,apn,Ignored,simple,0.967,12429.0,17761.0
US,40001,US-OK-AD,Adair,tax,auto,apn,Ignored,simple,0.967,12429.0,17761.0
US,40003,US-OK-AL,Alfalfa,parcel,auto,apn,Ignored,simple,0.945,8109.0,8986.0
US,40003,US-OK-AL,Alfalfa,tax,auto,tax_id,Ignored,simple,0.945,8109.0,8986.0
US,40005,US-OK-AT,Atoka,parcel,auto,apn,Ignored,simple,0.988,12782.0,13705.0
US,40005,US-OK-AT,Atoka,tax,auto,tax_id,Ignored,simple,0.988,12782.0,13705.0
US,40007,US-OK-BV,Beaver,parcel,auto,apn,Ignored,simple,0.954,8057.0,9681.0
US,40007,US-OK-BV,Beaver,tax,auto,apn,Ignored,simple,0.954,8057.0,9681.0
US,40009,US-OK-BE,Beckham,parcel,auto,apn,Ignored,simple,0.988,16244.0,16715.0
US,40009,US-OK-BE,Beckham,tax,auto,apn,Ignored,simple,0.988,16244.0,16715.0
US,40011,US-OK-BL,Blaine,parcel,auto,apn,Ignored,simple,0.99,11662.0,12626.0
US,40011,US-OK-BL,Blaine,tax,auto,apn,Ignored,simple,0.99,11662.0,12626.0
US,40013,US-OK-BR,Bryan,parcel,auto,apn,Ignored,simple,0.974,31087.0,31217.0
US,40013,US-OK-BR,Bryan,tax,auto,tax_id,Ignored,simple,0.974,31087.0,31217.0
US,40015,US-OK-CD,Caddo,parcel,auto,apn,Sx(-)Dx,skip_empty: 1,0.934,23386.0,24611.0
US,40015,US-OK-CD,Caddo,tax,auto,tax_id,Dx,split_groups: 0|14 & drop_cols: 0_1 & skip_empty: 1,0.934,23386.0,24611.0
US,40017,US-OK-CA,Canadian,parcel,auto,apn,Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),merge_after: 4 3 2 & skip_empty: 1,0.943,63228.0,69395.0
US,40017,US-OK-CA,Canadian,tax,auto,apn,Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),split_groups: 0|S 0_0|N & drop_cols: 4 & skip_empty: 1,0.943,63228.0,69395.0
US,40019,US-OK-CT,Carter,parcel,auto,apn2,Sx,split_groups: 0|1 & drop_cols: 0_0,0.995,31150.0,33514.0
US,40019,US-OK-CT,Carter,tax,auto,apn,Dx,split_groups: 0|3 0_1|15 & drop_cols: 0_0 0_1_1 & skip_empty: 1,0.995,31150.0,33514.0
US,40021,US-OK-CH,Cherokee,parcel,auto,apn,Ignored,simple,0.993,29874.0,35652.0
US,40021,US-OK-CH,Cherokee,tax,auto,apn,Ignored,simple,0.993,29874.0,35652.0
US,40023,US-OK-CC,Choctaw,parcel,auto,apn,Ignored,simple,0.99,13701.0,14431.0
US,40023,US-OK-CC,Choctaw,tax,auto,tax_id,Ignored,simple,0.99,13701.0,14431.0
US,40025,US-OK-CM,Cimarron,parcel,auto,apn,Ignored,simple,0.999,7027.0,7296.0
US,40025,US-OK-CM,Cimarron,tax,auto,tax_id,Ignored,simple,0.999,7027.0,7296.0
US,40027,US-OK-CL,Cleveland,parcel,auto,apn,Ignored,simple,0.985,109264.0,115755.0
US,40027,US-OK-CL,Cleveland,tax,auto,apn,Ignored,simple,0.985,109264.0,115755.0
US,40029,US-OK-OA,Coal,parcel,manual,apn,D4-D2-S3-S3-S1-S3-D2,skip_empty: 1,,,
US,40029,US-OK-OA,Coal,tax,manual,apn,D4-D2-S3-S3-S1-S3-D2,skip_empty: 1,,,
US,40031,US-OK-CO,Comanche,parcel,manual,apn,^(?:(0[0-9]9[0-9]{3})-([0-9]{2})([0-9]{1})[0-9]{4}-[0-9]{5}|([0-9]{2}[^9][0-9]{3})-([0-9]{3})([0-9]{4})-[0-9]{5})$,split_groups: 1|3 & skip_empty: 1,,,
US,40031,US-OK-CO,Comanche,tax,manual,apn,^(?:[0-9A-Z]{6})-(?:[0-9]{2}-[0-9]{1}-([0-9][^9][0-9]{3})-([0-9]+)-(\d*[1-9]\d*)|([0-9]{2})-([0-9]{1})-([0-9]9[0-9]{3})-0+-[0-9]+)$,switch: 4|5 3|5 & skip_empty: 1,,,
US,40033,US-OK-CN,Cotton,parcel,auto,apn,Ignored,simple,0.993,7419.0,7722.0
US,40033,US-OK-CN,Cotton,tax,auto,tax_id,Ignored,simple,0.993,7419.0,7722.0
US,40035,US-OK-CI,Craig,parcel,auto,apn,D4-D2-S3-S3-S1-S3-D2,skip_empty: 1,0.999,11164.0,11214.0
US,40035,US-OK-CI,Craig,tax,auto,tax_id,D4-D2-S3-S3-S1-S3-D2,skip_empty: 1,0.999,11164.0,11214.0
US,40037,US-OK-CR,Creek,parcel,auto,apn,Ignored,simple,0.991,44242.0,45851.0
US,40037,US-OK-CR,Creek,tax,auto,apn,Ignored,simple,0.991,44242.0,45851.0
US,40039,US-OK-CU,Custer,parcel,auto,apn,Ignored,simple,0.989,18492.0,19012.0
US,40039,US-OK-CU,Custer,tax,auto,tax_id,Ignored,simple,0.989,18492.0,19012.0
US,40041,US-OK-DE,Delaware,parcel,auto,apn2,Ignored,simple,0.709,61136.0,50813.0
